Startup Name,Industry,Total Funding (M$),Number of Investors,Investor Reputation,Growth Rate (%),Revenue (M$),Market Size,Years Since Founded,Success Score
HyperFinanceAnalytics,Autonomous Vehicles,74.79,8,3.58,10.62,90.26,Small,1,66.51
HyperFinanceTech,Autonomous Vehicles,182.23,2,8.71,73.77,97.08,Small,13,68.21
NeuroSphereNetwork,Healthcare,484.75,6,9.14,58.44,3.96,Small,18,30.31
GreenCloudSolutions,Cybersecurity,61.87,5,6.07,66.54,38.26,Medium,2,65.79
QuantumAIAnalytics,Quantum Computing,258.89,11,6.85,45.78,15.02,Medium,11,92.59
FinConnectInc,Quantum Computing,461.92,1,2.91,67.06,25.05,Large,19,63.2
NextLabInc,Healthcare,493.37,10,1.29,46.61,57.01,Small,10,35.5
SmartLabSolutions,EdTech,150.74,9,9.28,38.28,17.68,Small,3,39.2
HyperGrowthSolutions,AgriTech,310.31,1,1.87,45.31,9.11,Medium,10,82.23
NeuroCloudInc,FinTech,6.28,5,6.86,70.13,67.87,Medium,4,77.87
QuantumGrowthHub,FinTech,18.88,12,5.56,35.28,58.23,Small,18,83.0
InnoFinanceInnovations,AI,497.58,5,1.41,51.79,14.21,Large,2,45.56
QuantumEdgeNetwork,AgriTech,131.5,15,6.9,78.75,71.52,Large,5,70.25
NextFinanceVentures,GreenTech,367.56,7,5.19,62.57,40.95,Small,5,71.28
FinGrowthSystems,Healthcare,294.39,6,5.33,29.49,32.89,Medium,18,19.19
AgriLabSolutions,Cybersecurity,249.58,11,6.44,76.69,90.85,Medium,19,8.3
HyperGrowthTech,Healthcare,308.05,14,1.4,65.15,79.53,Medium,4,73.34
QuantumDataSolutions,GreenTech,14.04,3,1.49,78.29,29.29,Medium,7,99.32
HyperSphereTech,Healthcare,367.75,15,7.83,23.84,50.87,Medium,14,12.88
TechEdgeSystems,FinTech,133.04,12,5.26,6.99,7.99,Large,14,90.66
AgriHealthAI,Cybersecurity,8.44,1,3.93,45.44,53.92,Medium,18,85.35
AgriConnectVentures,AI,19.87,13,7.26,37.44,33.15,Small,8,25.83
AgriFinanceAI,AgriTech,428.98,3,5.63,8.22,85.99,Large,6,6.92
GreenAIAI,FinTech,391.82,10,2.27,62.8,89.26,Large,18,27.33
TechSphereInc,Healthcare,20.38,1,1.01,62.57,57.72,Large,1,19.22
SmartDataAI,Autonomous Vehicles,143.91,8,5.51,62.37,4.62,Medium,18,41.08
InnoLabInc,AI,197.05,15,3.9,17.09,2.04,Small,6,73.53
GreenFinanceSystems,GreenTech,10.28,2,3.12,50.21,47.66,Medium,16,62.01
NextFinanceSolutions,AgriTech,462.61,7,1.8,53.03,79.74,Medium,6,59.07
SmartGrowthSolutions,Cybersecurity,493.89,7,4.43,25.62,43.37,Medium,6,53.15
SmartHealthHub,EdTech,409.81,7,1.73,18.07,80.95,Small,12,16.01
InnoCloudInnovations,EdTech,267.43,8,2.12,18.45,22.55,Large,18,19.89
HyperEdgeSolutions,GreenTech,113.89,5,9.32,50.79,94.34,Small,18,48.2
NeuroAIAI,GreenTech,471.59,11,9.42,42.31,0.37,Small,10,47.55
TechHealthSystems,GreenTech,75.03,15,6.71,17.53,53.48,Small,10,22.14
QuantumSphereHub,AI,6.66,8,7.65,59.96,76.57,Small,16,44.6
NeuroDataInc,Cybersecurity,12.28,6,5.73,17.53,35.94,Medium,9,57.26
TechFinanceAnalytics,AgriTech,11.42,9,9.35,5.27,48.6,Small,8,27.33
AgriSphereVentures,EdTech,368.84,13,1.44,15.68,49.3,Large,16,42.87
GreenDataSystems,Healthcare,296.63,3,3.05,69.88,11.4,Small,9,19.31
QuantumLabInc,GreenTech,271.62,9,3.66,19.41,57.15,Medium,15,52.97
NeuroFinanceSystems,EdTech,85.2,9,7.68,79.2,73.91,Small,7,12.83
NextConnectInnovations,Autonomous Vehicles,318.88,15,8.08,32.96,63.03,Medium,16,73.98
GreenHealthSystems,Cybersecurity,202.85,14,1.56,53.93,58.86,Large,5,6.31
NeuroDataTech,EdTech,54.58,15,3.76,39.82,26.47,Medium,16,42.4
GreenHealthAI,Cybersecurity,325.04,8,4.22,1.2,86.13,Medium,9,64.93
TechCloudSolutions,FinTech,308.61,5,7.2,44.05,36.74,Small,4,18.31
NextLabAI,AI,122.15,2,3.19,54.52,72.86,Medium,6,88.29
NextLabTech,AgriTech,343.16,11,3.45,38.95,14.57,Medium,4,76.56
HyperLabAI,Healthcare,183.81,14,4.78,48.88,64.28,Medium,14,82.46
FinHealthSystems,FinTech,452.52,6,5.59,20.28,11.08,Small,15,48.7
GreenAIVentures,AI,143.48,15,9.13,75.0,36.97,Medium,6,32.75
FinAISystems,Autonomous Vehicles,174.27,11,4.44,20.62,99.96,Small,6,47.18
AgriHealthVentures,EdTech,356.96,6,2.16,75.72,15.22,Medium,18,4.06
NeuroFinanceSolutions,AI,365.15,13,6.36,63.28,16.14,Large,9,24.77
QuantumDataSystems,FinTech,325.51,11,4.83,14.64,76.04,Medium,12,42.63
AgriSphereTech,Autonomous Vehicles,284.86,14,5.31,67.41,47.04,Small,13,92.89
FinGrowthSolutions,AgriTech,233.01,8,3.52,74.64,4.73,Large,3,66.7
TechDataInc,EdTech,35.77,8,1.55,5.82,31.0,Large,10,6.87
NextAIInnovations,Cybersecurity,79.74,4,8.51,11.28,91.37,Large,12,13.97
GreenCloudHub,Healthcare,279.87,11,7.67,44.91,46.85,Medium,5,39.52
QuantumEdgeAI,Cybersecurity,2.93,9,8.56,14.61,84.45,Medium,20,57.35
NextLabInnovations,Quantum Computing,72.9,4,2.14,77.71,24.69,Medium,2,44.43
NeuroLabHub,Cybersecurity,45.09,5,1.23,55.35,23.33,Small,17,91.27
GreenConnectSolutions,Autonomous Vehicles,104.57,13,4.84,26.27,79.63,Large,2,83.74
GreenHealthVentures,Autonomous Vehicles,180.62,14,1.43,17.46,18.79,Large,5,32.23
NeuroEdgeTech,GreenTech,393.68,5,9.97,78.66,63.42,Large,13,51.49
TechGrowthSystems,Autonomous Vehicles,457.98,15,9.52,51.18,85.88,Medium,3,70.61
InnoHealthInnovations,Cybersecurity,372.16,14,2.37,22.36,1.87,Small,3,29.15
NeuroAIHub,GreenTech,465.57,6,7.77,12.83,48.08,Small,11,91.63
TechAISolutions,FinTech,190.84,1,5.21,57.01,91.49,Medium,3,46.12
NextConnectInc,Quantum Computing,429.5,6,3.42,75.65,70.08,Large,4,4.96
InnoEdgeNetwork,Quantum Computing,240.18,2,5.7,12.84,57.57,Small,4,10.92
GreenSphereInc,Healthcare,480.22,11,4.85,6.66,39.83,Small,19,25.67
NeuroSphereNetwork,AI,264.63,5,4.86,51.12,85.73,Medium,2,29.83
SmartLabInc,Healthcare,158.17,8,5.84,32.98,58.08,Large,1,31.49
QuantumSphereHub,EdTech,161.02,3,6.28,29.15,76.56,Medium,8,70.39
FinAIInc,Autonomous Vehicles,165.14,2,1.46,62.55,53.71,Medium,12,0.49
InnoGrowthVentures,Quantum Computing,60.98,8,6.83,15.56,73.54,Medium,9,6.1
AgriGrowthInc,Cybersecurity,286.44,15,1.66,12.84,13.73,Small,8,22.18
GreenLabSolutions,Healthcare,12.58,5,6.93,78.91,54.14,Large,15,37.92
NeuroCloudVentures,EdTech,14.2,8,1.82,42.15,38.42,Medium,6,46.1
GreenFinanceSystems,EdTech,256.36,1,5.18,15.08,46.87,Large,5,34.17
InnoDataInnovations,FinTech,208.83,7,4.01,62.58,65.85,Medium,6,48.53
SmartConnectTech,AI,452.53,8,4.25,25.49,69.97,Small,1,63.35
NeuroGrowthNetwork,Healthcare,46.47,8,8.49,10.6,68.27,Medium,16,78.96
SmartGrowthInc,Autonomous Vehicles,125.68,13,3.94,28.57,36.07,Large,20,40.82
InnoConnectInc,Quantum Computing,59.55,1,1.02,38.35,20.86,Small,6,36.76
NextFinanceInnovations,Cybersecurity,453.62,11,3.36,14.69,27.94,Small,3,97.13
NeuroCloudTech,Healthcare,278.33,4,2.32,38.31,28.34,Large,17,32.03
NextCloudTech,Cybersecurity,341.08,4,1.05,9.73,36.69,Small,16,62.73
NeuroFinanceAnalytics,Cybersecurity,161.76,4,8.63,64.76,22.52,Large,2,67.75
InnoLabInc,Cybersecurity,290.18,14,7.27,70.03,66.38,Medium,17,91.8
SmartGrowthNetwork,Autonomous Vehicles,496.81,3,3.3,50.05,52.59,Small,7,46.78
GreenConnectInnovations,Autonomous Vehicles,204.42,14,1.5,7.9,42.47,Medium,7,40.79
QuantumConnectAI,FinTech,378.83,8,5.16,49.24,3.27,Small,17,94.54
TechDataHub,Cybersecurity,281.05,9,7.44,46.97,13.42,Small,6,91.5
InnoConnectAI,FinTech,13.38,10,4.27,10.97,27.16,Small,7,83.65
InnoSphereSystems,Cybersecurity,109.67,13,7.03,75.33,66.82,Large,6,69.07
NextDataAnalytics,FinTech,284.11,14,3.59,56.99,66.75,Medium,1,76.47
FinEdgeInnovations,AgriTech,422.92,9,7.33,33.19,80.09,Large,20,72.93
HyperGrowthVentures,Quantum Computing,174.7,14,1.44,36.15,45.81,Large,5,72.3
NeuroLabTech,GreenTech,277.2,7,1.86,48.61,34.07,Large,8,20.57
NextLabTech,Quantum Computing,43.14,8,7.32,23.35,85.12,Small,12,96.61
GreenEdgeInc,FinTech,283.35,2,3.49,39.5,76.75,Large,3,32.65
NextDataAnalytics,Healthcare,390.08,10,9.3,1.49,37.5,Medium,11,11.81
QuantumCloudHub,AgriTech,115.81,9,9.67,12.15,62.99,Small,15,9.45
NeuroAIAI,AgriTech,151.28,9,8.03,74.52,0.46,Large,18,98.28
NeuroSphereTech,AI,131.79,7,4.81,30.24,2.94,Small,16,76.39
NeuroEdgeSolutions,Healthcare,298.82,3,7.16,26.67,97.05,Small,20,17.55
NextDataTech,Healthcare,40.56,8,4.36,34.12,5.44,Large,6,93.3
AgriDataSystems,EdTech,215.24,10,6.48,31.65,72.79,Medium,20,62.86
GreenHealthTech,AI,40.49,2,2.49,27.11,21.54,Large,5,7.55
TechCloudSolutions,AI,182.93,8,6.05,30.99,79.62,Small,12,54.01
GreenEdgeHub,Autonomous Vehicles,70.93,15,5.64,19.37,78.61,Small,1,50.82
HyperEdgeHub,FinTech,254.84,10,3.07,55.97,65.52,Large,5,65.82
NextConnectInc,Cybersecurity,377.47,14,7.14,51.04,97.07,Small,11,7.87
TechAIInnovations,FinTech,449.84,14,6.13,35.05,91.27,Large,8,47.78
SmartAITech,EdTech,128.82,1,1.41,59.1,93.44,Large,13,78.63
SmartSphereSolutions,GreenTech,325.08,8,7.03,18.22,86.4,Large,13,1.98
TechAITech,GreenTech,314.07,13,3.63,52.21,90.43,Small,18,75.31
FinCloudNetwork,FinTech,140.75,7,7.52,30.79,83.85,Medium,9,55.31
AgriFinanceSolutions,Quantum Computing,253.24,1,4.82,34.75,66.04,Large,13,73.95
GreenConnectInnovations,GreenTech,62.12,1,6.84,79.09,41.55,Large,11,72.12
SmartSphereInnovations,EdTech,328.97,14,5.49,38.03,9.21,Medium,3,77.58
NeuroCloudSystems,Healthcare,123.08,8,2.07,53.64,25.09,Medium,10,19.0
QuantumDataAI,Cybersecurity,98.66,5,8.21,66.65,67.17,Small,4,57.78
NeuroCloudInc,EdTech,331.44,4,2.97,74.55,21.29,Medium,10,89.36
NextEdgeInnovations,AgriTech,485.57,9,3.15,23.74,71.22,Large,7,52.64
GreenDataInc,AgriTech,58.0,14,7.14,37.54,0.53,Large,4,94.94
InnoLabSystems,GreenTech,369.66,7,6.26,18.57,22.95,Large,19,25.97
InnoFinanceVentures,AI,360.17,7,6.46,37.66,85.69,Large,6,40.29
HyperGrowthTech,AgriTech,406.08,2,1.24,20.44,58.73,Small,11,32.5
TechLabNetwork,Quantum Computing,245.58,13,5.76,19.64,37.47,Medium,14,42.93
NextConnectAI,EdTech,80.78,9,5.01,79.03,89.06,Small,2,11.71
InnoEdgeSystems,Healthcare,184.99,14,2.66,69.81,19.27,Small,2,23.31
SmartGrowthHub,AgriTech,333.5,11,4.25,58.45,52.95,Large,18,65.17
AgriDataInnovations,GreenTech,239.93,9,1.63,76.6,74.73,Medium,16,20.16
InnoDataInc,AgriTech,461.89,14,8.1,5.19,49.24,Small,4,2.58
SmartGrowthSystems,EdTech,301.04,11,4.38,64.3,80.31,Large,6,63.41
QuantumDataVentures,Cybersecurity,151.24,13,5.06,39.33,47.99,Small,12,60.49
AgriHealthSolutions,GreenTech,228.56,9,5.41,55.05,91.06,Medium,14,78.85
InnoConnectInc,Quantum Computing,106.82,13,2.09,25.39,40.43,Small,9,54.04
TechLabAnalytics,AgriTech,150.77,7,9.14,7.67,97.83,Medium,8,46.17
NeuroCloudInc,FinTech,373.67,1,8.26,34.27,4.52,Small,13,5.75
SmartEdgeInnovations,AI,149.9,12,4.25,78.48,65.54,Small,14,98.45
QuantumLabAI,GreenTech,211.93,7,7.82,53.41,80.07,Small,3,24.06
FinEdgeTech,Healthcare,75.07,9,1.61,28.53,73.62,Large,16,88.56
NextGrowthHub,EdTech,328.81,11,2.91,5.51,97.19,Large,2,43.53
InnoGrowthInc,AI,443.89,2,5.29,38.5,47.61,Small,8,31.15
QuantumLabNetwork,Autonomous Vehicles,68.77,8,7.35,16.25,15.88,Small,13,82.87
TechGrowthAnalytics,Healthcare,495.74,1,2.81,38.32,73.48,Medium,12,42.69
NextCloudAnalytics,Healthcare,170.96,7,4.36,22.01,66.08,Medium,1,1.47
HyperFinanceVentures,EdTech,275.69,3,3.71,42.21,35.61,Large,19,11.36
GreenLabSystems,Autonomous Vehicles,185.76,12,2.71,70.74,55.77,Small,2,35.79
NeuroHealthSolutions,EdTech,232.2,4,1.59,42.55,46.99,Small,4,80.95
AgriSphereVentures,EdTech,251.24,9,6.92,73.73,52.58,Small,19,87.58
AgriLabTech,FinTech,108.79,11,5.62,21.58,72.49,Large,17,36.21
FinFinanceNetwork,GreenTech,368.43,3,6.66,12.44,52.55,Small,2,5.41
GreenLabSolutions,Cybersecurity,302.05,10,1.7,41.78,85.05,Large,17,81.01
InnoGrowthInc,GreenTech,77.28,13,2.51,14.81,71.44,Medium,16,48.97
AgriDataSolutions,AgriTech,384.61,6,7.07,10.77,21.87,Large,15,34.35
GreenCloudSolutions,AI,77.67,12,6.92,50.11,51.17,Small,7,67.23
FinDataNetwork,Quantum Computing,403.29,5,5.65,53.81,78.18,Large,14,73.94
NextAIInnovations,Quantum Computing,27.06,1,8.31,65.14,44.86,Medium,12,78.45
NeuroFinanceNetwork,EdTech,202.1,3,5.88,13.72,39.98,Small,5,31.58
FinHealthInnovations,Healthcare,158.32,12,6.9,6.68,78.36,Medium,3,64.1
NeuroLabHub,Cybersecurity,28.08,8,8.7,46.46,38.39,Small,3,30.79
TechHealthSystems,Quantum Computing,327.42,14,5.42,59.98,46.13,Small,14,0.8
NeuroCloudAI,AI,67.33,8,6.42,16.24,20.06,Large,7,7.6
QuantumCloudInnovations,Autonomous Vehicles,160.83,1,9.07,42.29,61.14,Small,5,56.45
NextSphereAnalytics,FinTech,196.78,9,4.29,72.09,11.03,Medium,19,37.63
QuantumFinanceAI,AgriTech,302.4,6,1.64,47.5,79.9,Large,1,24.06
SmartAIAI,Quantum Computing,57.97,6,3.43,18.94,83.54,Large,18,38.81
NeuroEdgeSolutions,EdTech,464.32,15,4.66,12.8,25.37,Large,8,43.51
AgriLabInnovations,Cybersecurity,129.29,11,6.89,7.04,57.54,Medium,2,52.32
InnoFinanceAI,FinTech,449.0,15,8.97,3.17,73.36,Small,9,65.85
HyperFinanceSolutions,AI,59.7,7,1.58,77.79,61.27,Medium,20,86.49
NextConnectInc,AgriTech,248.12,15,2.4,5.25,14.51,Small,6,54.1
HyperConnectAI,AgriTech,389.6,7,2.11,37.84,40.43,Large,8,74.55
HyperCloudHub,EdTech,184.78,4,6.45,38.14,29.06,Small,16,55.16
TechConnectVentures,Healthcare,310.39,5,8.31,12.16,59.6,Small,18,14.55
NeuroHealthAnalytics,FinTech,3.0,7,7.09,23.02,56.94,Small,6,59.96
FinSphereAI,Cybersecurity,266.84,9,5.58,9.91,31.28,Medium,5,18.35
FinConnectVentures,Cybersecurity,251.15,7,7.18,28.65,15.0,Large,9,13.66
NextHealthVentures,AgriTech,35.86,7,5.97,78.72,74.73,Medium,7,25.96
GreenSphereHub,Cybersecurity,467.8,10,7.79,73.71,2.13,Large,6,46.55
AgriCloudAI,Cybersecurity,251.73,2,6.75,13.88,98.32,Medium,11,15.74
AgriEdgeInc,Healthcare,3.24,13,2.12,78.28,68.62,Small,2,49.86
NextCloudAI,Autonomous Vehicles,249.0,5,6.06,39.9,75.16,Medium,11,3.12
NeuroConnectVentures,FinTech,305.22,5,1.24,39.75,36.49,Large,7,99.6
FinCloudNetwork,Healthcare,264.51,5,6.57,48.02,98.47,Large,16,50.7
QuantumFinanceInc,Quantum Computing,159.55,4,4.14,74.58,32.78,Large,7,93.59
QuantumEdgeTech,Quantum Computing,491.98,8,1.39,31.88,55.5,Small,15,7.28
FinConnectTech,Quantum Computing,494.21,5,9.96,14.82,15.33,Large,2,20.47
GreenGrowthSystems,Healthcare,25.35,1,9.57,35.51,93.25,Medium,20,9.17
InnoLabAnalytics,AgriTech,46.61,14,3.88,30.92,61.47,Large,8,41.21
HyperHealthHub,Autonomous Vehicles,434.24,11,7.35,24.68,3.32,Large,2,28.65
HyperCloudSolutions,AI,184.37,3,8.54,22.65,14.81,Large,15,97.73
SmartCloudAnalytics,Healthcare,122.76,11,1.08,76.07,62.38,Small,16,37.86
GreenFinanceAnalytics,AgriTech,100.34,14,2.15,37.02,6.77,Small,1,68.75
NeuroHealthInc,Cybersecurity,118.43,3,7.43,63.87,92.86,Small,3,34.58
TechAIAnalytics,Autonomous Vehicles,174.57,6,8.37,10.69,32.02,Large,5,90.7
AgriGrowthTech,Quantum Computing,370.17,9,7.54,17.33,64.85,Medium,7,74.51
TechConnectVentures,FinTech,439.14,1,4.28,71.84,54.88,Small,4,56.35
TechCloudHub,EdTech,369.28,5,3.44,3.29,9.88,Large,12,88.78
NextLabHub,Quantum Computing,386.88,1,7.93,9.55,17.21,Small,20,75.06
NextConnectInc,Cybersecurity,75.13,7,8.02,75.9,60.25,Small,1,41.94
InnoHealthVentures,FinTech,462.85,13,9.56,61.7,30.2,Small,16,17.4
NextLabVentures,Autonomous Vehicles,161.89,3,8.59,34.91,67.05,Small,16,36.21
TechConnectInnovations,Cybersecurity,177.28,9,8.7,21.56,22.14,Large,18,75.45
NextGrowthAI,AI,229.93,8,2.2,18.05,86.02,Small,9,54.86
NeuroCloudAnalytics,FinTech,481.67,2,4.13,58.57,63.97,Large,8,79.52
FinGrowthVentures,FinTech,291.34,14,6.94,16.99,19.24,Medium,4,47.81
FinConnectAnalytics,FinTech,379.43,12,6.58,65.44,54.21,Medium,3,73.32
SmartFinanceNetwork,Quantum Computing,217.63,5,2.83,51.41,7.58,Small,3,94.85
NeuroHealthTech,EdTech,368.27,3,5.53,53.98,57.44,Small,16,17.85
InnoConnectInnovations,GreenTech,108.46,14,2.01,68.83,18.79,Large,2,59.06
FinFinanceNetwork,GreenTech,162.57,9,7.89,46.16,74.63,Medium,19,69.5
InnoSphereTech,AgriTech,153.01,7,5.59,46.57,84.66,Large,10,84.25
AgriHealthSystems,GreenTech,496.77,2,7.52,0.43,33.04,Small,10,41.44
SmartCloudAI,AgriTech,97.33,7,8.08,66.98,15.8,Small,19,79.02
SmartLabAnalytics,FinTech,369.82,5,8.04,71.0,24.19,Medium,18,74.35
FinConnectInc,Cybersecurity,131.1,6,1.8,27.37,9.66,Large,15,76.74
FinGrowthAnalytics,FinTech,239.02,14,8.09,70.74,13.65,Large,4,42.81
NextLabSolutions,AI,77.79,15,1.53,78.71,20.7,Large,5,21.06
InnoLabSolutions,Healthcare,227.72,15,5.89,70.25,15.19,Medium,1,64.49
QuantumAIInc,EdTech,22.81,2,1.23,23.2,18.69,Small,20,97.24
GreenConnectNetwork,AI,456.31,3,6.52,15.28,87.2,Medium,1,5.35
AgriHealthTech,Quantum Computing,260.72,11,6.93,40.59,21.08,Medium,18,50.92
NextHealthSystems,Quantum Computing,453.51,12,2.26,67.53,15.47,Large,15,90.92
AgriFinanceTech,Autonomous Vehicles,164.78,9,6.96,30.16,50.43,Medium,18,87.35
FinEdgeInc,Healthcare,203.62,15,2.32,16.78,96.67,Large,17,99.98
QuantumEdgeSystems,FinTech,206.35,3,7.58,44.61,70.9,Large,3,57.51
AgriGrowthAI,Autonomous Vehicles,1.34,4,9.2,22.74,29.89,Large,15,96.77
AgriHealthNetwork,EdTech,498.2,3,5.79,23.8,48.42,Medium,20,88.37
NextEdgeInnovations,Autonomous Vehicles,210.27,8,2.61,12.13,94.62,Medium,19,1.0
FinSphereNetwork,FinTech,360.2,11,4.21,51.06,21.47,Medium,6,87.96
GreenAINetwork,Quantum Computing,143.23,14,5.7,8.2,70.94,Small,14,48.17
FinDataSystems,FinTech,218.82,12,8.76,69.46,25.89,Large,7,86.11
NeuroDataVentures,AI,341.05,6,9.03,8.91,52.81,Large,6,62.41
FinGrowthInnovations,Quantum Computing,272.57,8,5.79,11.44,72.24,Medium,4,44.05
FinGrowthNetwork,GreenTech,111.44,5,5.17,16.68,43.72,Large,7,25.71
GreenAITech,AgriTech,171.76,3,1.24,7.66,60.96,Large,1,2.85
NeuroLabAI,Healthcare,358.92,8,7.75,58.01,70.79,Medium,7,67.03
NextSphereTech,AgriTech,66.89,14,6.8,44.43,70.45,Small,15,92.03
SmartLabInnovations,Quantum Computing,416.75,15,6.55,51.05,70.13,Small,16,55.73
QuantumGrowthTech,GreenTech,109.87,14,7.44,23.07,48.29,Small,15,53.8
NeuroLabHub,AI,97.22,10,6.52,28.09,32.27,Large,18,1.12
GreenAIAnalytics,FinTech,282.02,2,4.25,73.28,25.69,Medium,15,41.69
HyperLabSystems,Cybersecurity,319.51,4,8.05,29.84,94.46,Medium,18,35.77
QuantumHealthAnalytics,Cybersecurity,275.9,5,7.02,41.67,76.11,Medium,17,98.12
QuantumGrowthInc,Quantum Computing,121.71,15,9.16,3.67,2.79,Medium,14,39.65
InnoHealthAnalytics,Quantum Computing,292.03,8,6.88,43.61,56.85,Small,1,74.34
HyperCloudAI,Autonomous Vehicles,269.94,7,1.6,32.88,45.2,Medium,5,38.53
AgriEdgeTech,FinTech,391.07,2,6.35,6.39,30.13,Medium,17,70.93
AgriEdgeInc,AI,55.5,2,7.15,57.33,75.57,Medium,11,77.03
FinSphereTech,GreenTech,22.31,5,1.24,13.27,9.56,Large,14,30.96
NeuroCloudNetwork,FinTech,322.93,14,6.74,75.79,15.26,Medium,19,13.11
HyperSphereNetwork,AI,324.44,4,8.77,7.64,55.54,Small,17,4.43
GreenSphereAI,EdTech,460.27,3,5.01,24.0,18.35,Small,20,8.7
AgriCloudInnovations,Quantum Computing,247.8,14,3.07,71.64,89.81,Small,1,0.99
NeuroDataHub,Healthcare,116.74,9,5.88,72.94,95.08,Large,18,48.18
InnoCloudTech,Autonomous Vehicles,353.36,6,4.73,21.13,87.94,Large,9,48.61
HyperCloudInc,Cybersecurity,0.95,10,4.45,1.72,35.59,Large,15,55.24
GreenLabInnovations,Healthcare,144.06,11,3.49,23.27,66.51,Medium,1,25.37
FinSphereInnovations,AgriTech,448.66,13,2.97,62.72,87.07,Large,6,87.38
TechAISystems,AgriTech,430.17,5,6.6,11.56,93.39,Large,6,45.01
HyperFinanceInc,FinTech,159.77,14,6.79,40.98,34.7,Small,3,20.09
QuantumCloudSystems,FinTech,450.66,9,1.32,8.54,12.83,Large,3,42.82
QuantumLabNetwork,FinTech,140.35,11,5.52,77.38,67.44,Large,15,34.28
TechEdgeSystems,Quantum Computing,398.92,11,1.44,16.53,97.8,Small,19,43.18
TechCloudInc,Autonomous Vehicles,474.75,12,7.57,25.68,48.87,Small,20,54.66
NeuroHealthNetwork,Autonomous Vehicles,470.06,9,4.99,35.51,33.46,Large,5,12.75
NeuroHealthSystems,AgriTech,360.29,11,6.62,30.79,29.71,Medium,4,86.88
HyperGrowthNetwork,GreenTech,136.66,7,9.73,62.12,90.51,Large,2,40.99
FinEdgeTech,EdTech,375.07,14,2.88,27.6,9.56,Small,12,69.18
HyperAIInnovations,Quantum Computing,202.77,10,8.99,42.15,83.17,Small,15,66.7
TechAIInnovations,EdTech,145.58,5,9.43,8.61,25.98,Small,4,55.56
QuantumLabTech,FinTech,179.23,3,3.82,79.26,18.87,Large,12,63.4
SmartEdgeInc,Healthcare,242.75,4,2.09,34.02,49.24,Small,8,16.94
NeuroDataTech,Cybersecurity,414.02,13,9.41,48.78,4.74,Small,13,17.57
TechGrowthAnalytics,AgriTech,345.13,7,6.27,77.99,43.28,Large,12,55.07
GreenFinanceInnovations,AgriTech,142.94,5,7.33,13.93,25.92,Medium,17,4.87
NextDataSolutions,Autonomous Vehicles,393.44,10,7.95,71.7,22.72,Large,20,44.33
InnoLabAI,AgriTech,364.59,15,3.02,37.22,90.18,Small,19,99.52
GreenCloudAnalytics,Cybersecurity,499.08,15,4.06,33.01,33.86,Small,5,57.37
FinCloudSystems,GreenTech,24.2,7,8.04,26.34,76.58,Large,9,78.04
AgriHealthSystems,Quantum Computing,469.59,2,8.11,28.14,36.78,Large,17,55.92
QuantumCloudAI,Cybersecurity,12.65,14,3.68,37.16,30.09,Large,20,84.1
HyperDataVentures,Quantum Computing,84.54,14,1.91,25.26,24.86,Small,1,13.06
NextHealthHub,AI,352.26,10,4.76,50.47,76.25,Medium,10,16.3
GreenLabAnalytics,AI,418.98,12,5.32,31.5,10.8,Small,1,54.36
NeuroConnectNetwork,Quantum Computing,28.42,15,6.16,4.1,61.65,Medium,5,55.17
FinLabAI,Autonomous Vehicles,126.22,10,8.65,53.49,24.1,Medium,17,94.06
HyperHealthInc,Autonomous Vehicles,282.69,15,6.36,67.91,22.44,Large,14,37.15
AgriCloudInnovations,Autonomous Vehicles,357.87,8,1.84,63.29,35.29,Large,17,97.61
QuantumGrowthAI,Autonomous Vehicles,401.99,7,8.3,39.66,84.81,Small,7,36.4
InnoDataAnalytics,Quantum Computing,85.86,5,9.15,29.38,12.22,Large,6,95.58
InnoFinanceTech,FinTech,466.51,10,3.34,10.58,6.12,Large,2,42.13
SmartCloudSolutions,Autonomous Vehicles,144.88,8,5.7,6.41,38.38,Small,14,25.72
GreenLabVentures,EdTech,99.37,10,3.67,44.04,48.64,Small,10,4.31
SmartSphereSolutions,AgriTech,407.85,13,5.83,6.85,100.0,Large,12,52.92
GreenDataAI,AI,412.28,5,7.92,71.09,36.67,Large,11,69.88
GreenLabAI,GreenTech,336.41,9,9.11,51.25,84.13,Small,3,63.33
AgriEdgeSolutions,Quantum Computing,290.56,14,7.83,5.86,23.17,Small,14,36.39
GreenLabSystems,FinTech,184.03,11,7.54,50.85,21.24,Medium,1,87.66
TechCloudSolutions,AgriTech,98.05,7,2.75,45.47,40.59,Small,16,24.44
QuantumGrowthNetwork,Healthcare,286.94,7,8.1,13.33,47.86,Medium,8,43.24
HyperFinanceSolutions,Healthcare,224.77,14,3.34,34.11,65.36,Small,18,94.5
GreenAISystems,AI,288.51,11,5.15,69.15,9.38,Small,11,48.95
SmartFinanceAnalytics,GreenTech,439.69,13,2.04,52.78,23.4,Medium,18,64.86
TechEdgeTech,AgriTech,242.78,10,2.74,70.66,6.97,Large,8,19.83
QuantumConnectInnovations,Autonomous Vehicles,498.45,3,4.34,8.53,7.0,Medium,11,33.66
QuantumAINetwork,AgriTech,301.02,13,2.53,56.62,70.58,Large,11,66.84
QuantumLabTech,EdTech,89.59,15,6.72,32.45,12.19,Small,16,84.64
QuantumDataAnalytics,GreenTech,213.73,9,5.52,36.07,98.23,Large,14,64.68
HyperConnectInc,Cybersecurity,319.42,15,6.17,71.48,21.25,Medium,20,98.49
